Common name (Required)	Scientific name (Required)	Description (Required)	Pictures	Common name synonyms	Scientific synonyms	Family	Origin	Status	Uses	Edibility	Edibility working column	Look-a-likes	Fun Facts	Components go to the right of this column FORMAT: <Component Name> DASH <Component Possibility>, <Component Possibility>, .... LEFT CURLY BRACE isRequired RIGHT CURLY BRACE LEFT CURLY BRACE <Observation Type> RIGHT CURLY BRACE LEFT CURLY BRACE <Data Type> RIGHT CURLY BRACE LEFT CURLY BRACE isFilterable RIGHT CURLY BRACE LEFT CURLY BRACE <Judgement description> RIGHT CURLY BRACE	Flower color- yellow, white, blue, purple, red, orange, pink, green{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the color of the flower?}	Flower arrangement- solitary, head, spike, raceme, umbel, cyme, corymb, panicle{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the flower arrangement?}	Flower symmetry- radial, bilateral{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the flower symmetry}	Number flower parts- 3, 4, 5, 6, more{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{If flower parts are indistinguishable, leave blank.}	Flowering month- Mar, Apr, May, Jun, Jul, Aug, Sept, Oct, Nov{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{In what month does this plant flower?}	Leaf arrangement- alternate, opposite, whorled, basal{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the leaf arrangement?}	Leaf type- simple, trifoliate, palmate, pinnate, bipinnate{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Please choose a possible leaf type}	Leaf shape- ovate, obovate, lanceolate, cordiform, linear, elliptic, oblong, orbicular, reniform, spatulate, lobed, divided{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Please choose a possible leaf shape}	Leaf margin- entire, finely toothed, coarsely toothed, doubly toothed, lobed, wavy{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the leaf margin like?}	Petiole present{NO}{DATA_PHOTO}{JUDGEMENT_BOOL}{FILTER}{Is a Petiole present?}	Leaf venation- parallel, branched{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Parallel or Branched?}	Stem shape- round, square, ridged{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the shape of the stem?}	Stem texture- hairless, hairy, fuzzy, prickly{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What does the surface of the stem look like?}	Plant height{NO}{DATA_NUMBER}{JUDGEMENT_NUMBER}{FILTER}{What is the height of the plant when in flower?}	Growth form- upright no/few branches, upright branching, sprawling{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{How does the plant grow?}	Distribution- singular, bunches, patches{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{How is the plant distrubuted in the area?}	Cell name{YES}{DATA_TEXT}{JUDGEMENT_TEXT}{DONT_FILTER}{Cell Name, Meters East, Meters North}	Abundance{YES}{DATA_TEXT}{JUDGEMENT_TEXT}{DONT_FILTER}{}
Canada milk-vetch, Canadian milk-vetch	Astragalus canadensis	Astragalus canadensis is a common and widespread member of the milkvetch genus in the legume family, known commonly as Canadian milkvetch.  The plant is found throughout Canada and the United States in many  habitats including wetlands, woodlands, and prairies. It sends out  several thin, erect, green stems, bearing leaves that are actually made  up of pairs of leaflets, each leaflet up to 3 centimeters in length. It  has inflorescences of tubular, greenish-white flowers which yield  beanlike fruits within pods that rattle when dry. Like other Astragalus species, A. canadensis is somewhat toxic, but it has been used medicinally by Native American groups such as the Blackfoot and Lakota people, particularly the roots.			Astragalus halei	Bean, Pea (Fabaceae)	native								yellow	spike	bilateral	3, 5	Jul, Aug	alternate	pinnate	divided, oblong	entire	yes	branched	ridged, round	hairless, fuzzy, hairy	84, 30	upright no/few branches, upright branching	singular, bunches		
White wild indigo	Baptisia alba	Baptisia alba, commonly called White Wild Indigo or White False Indigo, is a herbaceous plant in the bean family Fabaceae. It is native from central and eastern North America.'[1] There are two varieties, Baptisia alba var. alba and Baptisia alba var. macrophylla.			Baptisia lactea, Baptisia leucantha, Baptisia pendula, Dolichos lacteus	Bean, Pea (Fabaceae)	native	hazardous							white	spike, raceme	bilateral	3, 5	Jun, Jul	alternate	trifoliate, palmate	divided, elliptic, oblong	entire	no	branched	round	hairless	91, 28	upright branching	singular		
Cream wild indigo	Baptisia bracteata				Baptisia leucophaea	Bean, Pea (Fabaceae)	native	none							yellow	raceme	bilateral	3, 5	May, Jun	alternate	trifoliate, palmate	divided, lanceolate, oblong	entire	no	branched	round	hairy, fuzzy	48, 18	upright branching, sprawling	singular		
Yellow wild indigo	Baptisia tinctoria	The multiple bushy stems of Baptisia tinctoria reach 2 to 3  feet tall. The leaves are silver-green; each is divided into three  leaflets about ½ inch long. The flowers are yellow and grow in spikes 1½  to 3 inches long.[5] The leaves are eaten by some lepidopteran caterpillars, for example the Io moth (Automeris io). On Martha's Vineyard, the species is a tumbleweed: it grows in a globular form, breaks off at the root in the autumn, and tumbles about.[1]			Baptisia gibbesii	Bean, Pea (Fabaceae)	native	special concern, hazardous							yellow	spike, raceme	bilateral	3, 5	Jun, Jul	alternate	trifoliate	divided, spatulate	entire	no	branched	round	hairless	41, 15	upright branching	singular		
Yellow-rocket, Garden yellow-rocket, Winter-cress	Barbarea vulgaris	This plant  grows to about 30–60 centimetres (12–24 in) of height, with a maximum  of 1 metre (3 ft 3 in). The stem is ribbed and hairless, branched at the  base. It has a basal rosettes of shiny, dark green leaves. The basal leaves are stalked and lyre-pinnatifid,  that is with a large terminal lobe and smaller lower lobes. The cauline  leaves are smaller, ovate, toothed or lobed. The flowers are borne in  spring in dense terminal clusters above the foliage.  They are 7–9 millimetres (0.28–0.35 in) long, with four bright yellow  petals.The flowering period extends from about April through July. The  fruit is a pod of about 15–30 millimetres (0.59–1.2 in).			Barbarea arcuata, Barbarea stricta, Campe barbarea, Campe stricta	Mustard (Brassicaceae)	nonnative	hazardous							yellow	raceme, corymb	radial	4	Apr, May, Jun	alternate	simple	spatulate	entire, coarsely toothed	no	branched	ridged	hairless	43, 25	upright no/few branches	bunches, singular		
Black mustard	Brassica nigra	The plant is believed to be native to the southern Mediterranean region of Europe and possibly South Asia where it has been cultivated for thousands of years. The spice is generally made from ground seeds of the plant, with the seed coats  removed. The small (1 mm) seeds are hard and vary in color from dark  brown to black. They are flavorful, although they have almost no aroma.  The seeds are commonly used in Indian cuisine, for example in curry, where it is known as rai. The seeds are usually thrown into hot oil or ghee,  after which they pop, releasing a characteristic nutty flavor. The  seeds have a significant amount of fatty oil. This oil is used often as cooking oil in India.  			Sinapis nigra	Mustard (Brassicaceae)	nonnative								yellow	raceme	radial	4	Jun, Jul, Aug, Sept	alternate	simple	oblong, obovate	entire, coarsely toothed	no	branched	round, ridged	hairy, hairless	135, 56	upright branching	singular		
Hedge bindweed	Calystegia sepium	Calystegia sepium (larger bindweed, hedge bindweed, Rutland beauty, bugle vine, heavenly trumpets, bellbind) (formerly Convolvulus sepium) is a species of bindweed, with a subcosmopolitan distribution throughout the temperate Northern and Southern hemispheres. It is an herbaceous perennial that twines around other plants, in a counter-clockwise direction, to a height of up to 2-4 m, rarely 5 m. The pale matte green leaves are arranged spirally, simple, pointed at the tip and arrowhead shaped, 5-10 cm long and 3-7 cm broad. The flowers are produced from late spring to the end of summer. In the bud, they are covered by large bracts which remain and continue to cover sepals. The open flowers are trumpet-shaped, 3-7 cm diameter, white, or pale pink with white stripes. After flowering the fruit develops as an almost spherical capsule 1 cm diameter containing two to four large, black seeds that are shaped like quartered oranges. The seeds disperse and thrive in fields, borders, roadsides and open woods.			Convolvulus nashii, Convolvulus repens, Convolvulus sepium	Morning-glory (Convolvulaceae)	native								white, pink	solitary	radial	5	Jun, Jul, Aug, Sept	alternate	simple	ovate, lanceolate, cordiform	entire	yes	branched	round	hairless	81, 81	sprawling, upright no/few branches	singular, patches		
Harebell, Bellflower	Campanula rotundifolia	Basal leaves are rounded to heart-shaped, usually slightly toothed, with prominent hydathodes, and often wither early. Leaves on flowering stems are long and thin and the upper ones are unstemmed. Flowers have five violet-blue, pink, or white petals fused together into a bell shape, about 15 mm (0.6 in) long and five long, pointed green sepals  behind them. The petal lobes are triangular and curve outwards. They  bloom on long thin stems either singly or in loose clusters from late spring to autumn. The flowers are pollinated by bees, but can self-pollinate. The seeds are produced in a capsule about 3–4 mm (0.1–0.2 in)  diameter. The seeds are released by pores at the base of the capsule.  Seedlings are minute, but established plants can compete with tall  grass. Like other Campanulas, all parts of the plant exude white latex when injured or broken.			Campanula alaskana, Campanula dubia, Campanula heterodoxa, Campanula intercedens, Campanula petiolata, Campanula sacajaweana	Bellflower (Campanulaceae)	native								blue, purple	solitary, raceme	radial	5	Jun, Jul, Aug, Sept, Oct	basal, alternate	simple	linear, ovate	entire, finely toothed	yes	branched	round	hairless	33, 13	upright branching, upright no/few branches	singular, bunches		
Shepherd's-purse	Capsella bursa-pastoris	C. bursa-pastoris plants grow from a rosette  of lobed leaves at the base. From the base emerges a stem about 0.2 to  0.5 meters tall, which bears a few pointed leaves which partly grasp the  stem. The flowers are white and small, in loose racemes, and produce seed pods which are heart-shaped.[6] Like a number of other plants in several plant families, its seeds contain a substance known as mucilage, a condition known as myxospermy.[8] The adaptive value of myxospermy is unknown,[8] although the fact that mucilage becomes sticky when wet has led some to propose that C. bursa-pastoris traps insects which then provide nutrients to the seedling, which would make it protocarnivorous.[9]			Bursa bursa-pastoris, Bursa gracilis, Bursa rubella, Capsella rubella, Thlaspi bursa-pastoris	Mustard (Brassicaceae)	nonnative								white	raceme	radial	4	Apr, May, Jun, Jul, Aug	basal	simple	lobed	lobed	no	branched	round	hairless, fuzzy, hairy	43, 20	upright no/few branches	singular, bunches		
New jersey tea, Red-root	Ceanothus americanus	Ceanothus americanus is a shrub growing between 18–42 inches high, having many thin branches. Its root system is thick with fibrous root hairs close to the surface, but with stout, burlish,  woody roots that reach deep into the earth—root systems may grow very  large in the wild, to compensate after repeated exposures to wildfires. White flowers grow in clumpy inflorescenses on lengthy, axillary peduncles. Fruits are dry, dehiscent, seed capsules			Ceanothus intermedius	Buckthorn (Rhamnaceae)	native								white	umbel, panicle, raceme	radial	5	Jun, Jul, Aug	alternate	simple	elliptic, ovate	finely toothed	yes	branched	round	hairless, fuzzy	71, 28	upright branching	bunches		
Common chickweed, Big mouse-ear chickweed, Common mouse-ear, Mouse-ear chickweed	Cerastium fontanum	Cerastium fontanum, also called Mouse-ear chickweed, Common mouse-ear, or Starweed is a species of mat forming perennial, or rarely, annual plant. It is native to Europe but introduced  elsewhere. Mouse-ear chickweed's identifying characteristics are  tear-shaped leaves growing opposite one another in a star pattern, hairy  leaves, and small white flowers. Mouse-ear chickweed typically grows to  4"-8" tall vertically and spreads horizontally along the ground via the  formation of roots wherever the stem falls over and contacts the  ground.			Cerastium adsurgens, Cerastium holosteoides, Cerastium triviale, Cerastium vulgatum, Cerastium vulgare	Pink (Caryophyllaceae)	nonnative								white	cyme, panicle, solitary	radial	5	May, Jun, Jul, Aug, Sept, Oct	opposite	simple	lanceolate, ovate	entire	no	parallel, branched	square	hairless	15, 15	upright branching, upright no/few branches, sprawling	bunches, singular		
Nodding chickweed	Cerastium nutans				Cerastium brachypodum	Pink (Caryophyllaceae)	native								white	cyme, panicle, solitary	radial	5	Apr, May, Jun, Jul	opposite	simple	linear	entire	no	parallel, branched	round	hairy	38, 38	upright branching, upright no/few branches, sprawling	bunches		
Turtlehead	Chelone glabra	Chelone glabra is a herbaceous plant found in wetlands and riparian forests [1] of eastern North America with opposite, simple leaves,  on stout, upright stems. The flowers are white, borne in late summer  and early fall. It can be used as a method of birth control, as used by  Abenaki people.[2] Its native range extends from Georgia to Newfoundland and Labrador and from Mississippi to Manitoba.[3] It is the primary plant that the Baltimore Checkerspot Butterfly will lay its eggs on (although the butterfly to some extent will use a few other species).[4][5] C. glabra is also a foodplant for the sawflies Macrophya nigra (Norton) and Tenthredo grandis (Norton) (Hymenoptera: Tenthredinidae), (Stamp, 1984).[6] A flea beetle in the genus Dibolia (Coleoptera: Chrysomelidae) has also been shown to feed on C. glabra (Wilcox, 1979).			Chelone chlorantha, Chelone montana, Chlonanthus montana, Chlonanthus tomentosa	Snapdragon (Scrophulariaceae)	native								yellow, white	spike	bilateral	5	Jul, Aug, Sept	opposite	simple	lanceolate, linear	finely toothed	yes	branched	square, round	hairless	74, 15	upright no/few branches	singular, bunches		
Common lamb's quarters	Chenopodium album	Chenopodium album is a fast-growing weedy annual plant in the genus Chenopodium. Though cultivated in some regions, the plant is elsewhere considered a weed. Common names include lamb's quarters, melde, goosefoot and fat-hen, though the latter two are also applied to other species of the genus Chenopodium, for which reason it is often distinguished as white goosefoot.[1][2][3][4] It is sometimes also called pigweed,[4] although that name is often also used for Amaranthus albus.			Chenopodium lanceolatum, Chenopodium missouriense	Goosefoot (Chenopodiaceae)	native	hazardous							green, white	panicle, spike, raceme	bilateral	5	Jun, Jul, Aug, Sept, Oct	alternate	simple	lanceolate, cordiform	coarsely toothed	yes	branched	ridged, round	hairless	84, 38	upright no/few branches, upright branching	singular, bunches		
Maple-leaved goosefoot	Chenopodium simplex				Chenopodium gigantospermum, Chenopodium hybridum	Goosefoot (Chenopodiaceae)	native								green, white	panicle, spike	bilateral	5	Jun, Jul, Aug, Sept, Oct	alternate	simple	cordiform, lanceolate	coarsely toothed	yes	branched	square, ridged	hairless	84, 38	upright no/few branches, upright branching	singular, bunches		
Chicory 	Cichorium intybus	When flowering, chicory has a tough, grooved, and more or less hairy stem, from 30 to 100 centimetres (10 to 40 in) tall. The leaves are stalked, lanceolate and unlobed. The flower heads are 2 to 4 centimetres (0.79 to 1.6 in) wide, and  usually bright blue, rarely white or pink. There are two rows of involucral bracts; the inner are longer and erect, the outer are shorter and spreading. It flowers from July until October. The achenes have no pappus (feathery hairs), but do have toothed scales on top				Aster, Daisy (Asteraceae)	nonnative	invasive							blue, white	spike	radial	more	Jul, Aug, Sept, Oct	alternate	simple	lobed	lobed, coarsely toothed	no	branched	round, ridged	hairless, hairy	84, 30	upright branching	bunches, singular		
Canada thistle, field thistle	Cirsium arvense	Cirsium arvense is a species of Cirsium, native throughout Europe and northern Asia, and widely introduced elsewhere. The standard English name in its native area is Creeping Thistle			Carduus arvensis, Cirsium incanum, Cirsium setosum, Cnicus arvensis, Serratula arvensis	Aster, Daisy (Asteraceae)	nonnative	invasive							pink, purple	panicle, raceme, spike	bilateral	more	Jun, Jul, Aug, Sept, Oct	alternate	simple	lobed	lobed	no	branched	round, ridged	prickly, hairless	112, 41	upright branching	patches, singular		
Bull thistle	Cirsium vulgare	It is a tall biennial or short-lived monocarpic thistle, forming a rosette of leaves and a taproot up to 70 cm long in the first year, and a flowering  stem 1–1.5 m tall in the second (rarely third or fourth) year. The stem  is winged, with numerous longitudinal spine-tipped wings along its full  length. The leaves are stoutly spined, grey-green, deeply lobed; the  basal leaves up to 15–25 cm long, with smaller leaves on the upper part  of the flower stem; the leaf lobes are spear-shaped (from which the  English name derives). The inflorescence is 2.5–5 cm diameter, pink-purple, with all the florets of similar form (no division into disc and ray florets). The seeds are 5 mm long, with a downy pappus, which assists in wind dispersal. As in other species of Cirsium (but unlike species in the related genus Carduus), the pappus hairs are feathery with fine side hairs			Carduus lanceolatus, Carduus vulgaris, Cirsium lanceolatum	Aster, Daisy (Asteraceae)	nonnative	invasive							purple, pink	panicle, corymb, raceme	bilateral	more	Jun, Jul, Aug, Sept, Oct	alternate	simple	lobed	lobed	no	branched	round, ridged	prickly, hairy	152, 36	upright branching	singular		
Canada horseweed	Conyza canadensis	Conyza canadensis (formerly Erigeron canadensis L.) is an annual plant native throughout most of North America and Central America. Common names include Horseweed, Canadian Horseweed, Canadian Fleabane, Coltstail, Marestail and Butterweed. It is an annual plant growing to 1.5 m tall, with sparsely hairy stems. The leaves are slender, 2–10 cm long and up to 1 cm broad, with a coarsely toothed margin. The flowers are produced in dense inflorescences 1 cm in diameter, with a ring of white or pale purple ray florets and a centre of yellow disc florets. Horseweed is commonly considered a weed, and in Ohio it has been declared a noxious weed.[1]  It can be found in fields, meadows, and gardens throughout its native  range. Horseweed infestations have reduced soybean yields by as much as  83%. It is an especially problematic weed in no-till agriculture, as it  is often resistant to glyphosate and other herbicides. Farmers are advised to include 2,4-D or dicamba in a burndown application prior to planting to control horseweed. Horseweed is much the most common of the alien Conyza species in Britain, and is found from northern Scotland to Cornwall. It is the only one of the British Conyza  species that grows as a weed of arable land: the others are casuals of  waste and disturbed ground in towns and by roads and railways. It is not  invasive of any natural or semi-natural habitats. C. canadensis can easily be confused with C. sumatrensis, which may grow to a height of 2 m, and the more hairy C. bonariensis which does not exceed 1 m. C. canadensis is distinguished by bracts  that have a brownish inner surface and no red dot at the tip, and are  almost free of the hairs found on the bracts of the other species.[2]			Erigeron canadensis, Leptilon canadense	Aster, Daisy (Asteraceae)	native								white	panicle	bilateral	more	Jul, Aug, Sept, Oct	alternate	simple	lobed, linear, spatulate	lobed, coarsely toothed	no	branched	round, ridged	hairy	104, 48	upright no/few branches, upright branching	patches, bunches, singular		
Prairie coreopsis, Finger tickseed	Coreopsis palmata	Coreopsis palmata, the common name is Stiff coreopsis, is a plant species of the genus Coreopsis in the daisy family. The plant is native to the central, midwestern, and southeastern United States.				Aster, Daisy (Asteraceae)	native								yellow	cyme, solitary	radial	more	Jun, Jul, Aug	opposite	simple	lobed	lobed	no	branched	round, ridged	hairless	76, 13	upright no/few branches	patches		
Blue-fruited dogwood, Silky dogwood	Cornus amomum	Cornus amomum (Silky Dogwood) is a species of dogwood native to eastern North America, from Ontario and Quebec south to Arkansas and Georgia.[1] Also found in other parts of North America. It is a deciduous shrub growing to 5 m tall. The leaves are opposite, 10 cm long and 7 cm broad, oval with an acute apex. The flowers are produced in cymes. The fruit is a small blue drupe.[2]			Cornus obliqua, Cornus purpusii, Cornus sericea	Dogwood (Cornaceae)	native								white	cyme	radial	4	May, Jun	opposite	simple	ovate, elliptic	entire	yes	branched	round	hairless, fuzzy	203, 203	upright branching	patches, bunches, singular		
Gray dogwood, Northern swamp dogwood	Cornus racemosa	Cornus racemosa (northern swamp dogwood, gray dogwood or panicle dogwood) is a shrubby plant native to southeastern Canada and the northeastern United States. It is a member of the dogwood genus Cornus and the family Cornaceae. Plants can produce many stems and suckers, with older stems, which  can reach 5 metres (16 ft) in height, having distinctive gray bark. The  plant grows upright with a rounded habit and oppositely arranged leaves  and terminally born flowers. The white flowers are small, with four petals, and clustered together in rounded, 2-inch-wide (51 mm) clusters called cymose panicles,  produced in May and early June. After flowering, green fruits are  produced that turn white in late summer. The white fruits, or drupes, are attached to the plant by bright red pedicels.  Many species of birds feed on the fruits. Old branches grow slowly,  while new stems are fast growing. In the fall the foliage can take on a  reddish or purplish color, though it is not overly showy from a  distance.			Cornus candidissima, Cornus foemina, Cornus paniculata, Swida racemosa	Dogwood (Cornaceae)	native	potentially invasive							white	cyme	radial	4	May, Jun	opposite	simple	elliptic, lanceolate	entire	yes	branched	round	hairless, fuzzy	203, 203	upright no/few branches, upright branching	patches, bunches, singular		
Red osier dogwood	Cornus stolonifera	In the wild, it commonly grows in areas of damp soil, such as wetlands. It is a medium to tall deciduous shrub, growing 1.5–4 m tall and 3–5 m wide, spreading readily by underground stolons  to form dense thickets. The branches and twigs are dark red, although  wild plants may lack this coloration in shaded areas. The leaves  are opposite, 5–12 cm long and 2.5–6 cm broad, with an ovate to oblong  shape and an entire margin; they are dark green above and glaucous below; fall color is commonly bright red to purple. The flowers are small (5–10 mm diameter), dull white, in clusters 3–6 cm diameter. The fruit is a globose white berry 5–9 mm diameter. The Latin specific epithet sericea means "silky", referring to the texture of the leaves.[4]			Cornus alba, Cornus baileyi, Cornus interior, Cornus instolonea, Cornus sericea, Cornus californica, Swida baileyi, Swida interior, Swida instolonea, Swida stolonifera	Dogwood (Cornaceae)	native	potentially invasive							white	cyme	radial	4	Jun, Jul	opposite	simple	ovate, lanceolate	entire	yes	branched	round	hairless, fuzzy	203, 203	upright no/few branches, upright branching	patches, bunches, singular		
Crown-vetch, Axseed	Coronilla varia	Securigera varia, commonly known as Crown Vetch or Purple Crown Vetch, is a low-growing legume vine. It is native to Africa, Asia and Europe and is commonly used throughout the United States and Canada for erosion control, roadside planting and soil rehabilitation. It has become an invasive species in many states of the US. Crown Vetch grows 1 to 2 feet tall and bears small clusters of 1/2-inch pink and white flowers  from early summer to late fall. The variety Penngift produces mounds of  pink flowers. Crown Vetch is a tough, aggressive spreading plant that  will crowd out its neighbors in a show garden but is well suited to a  sunny bank, where it will grow indefinitely with little maintenance. Its  deep, tenacious roots and thick, fern-like leaves provide excellent erosion control where it is used as a ground cover. Crown vetch is toxic to horses because of the presence of nitroglycosides. If consumed in large amounts, it can cause slow growth, paralysis, or even death.			Securigera varia	Bean, Pea (Fabaceae)	nonnative	invasive, hazardous							pink, white	umbel	bilateral	more	May, Jun, Jul, Sept	alternate	pinnate	divided, oblong	entire	yes	branched	ridged	hairless	30, 18	sprawling, upright no/few branches, upright branching	patches, singular		
White prairie-clover, Slender white prairie-clover	Dalea candida	Dalea candida is a species of flowering plant in the legume family known by the common name white prairie clover.  It is native to North America, where it can be found throughout central  Canada, the central United States, and northern Mexico. It can  sometimes be found outside its range as an introduced species.[1] It grows in many types of habitat, including several types of prairie, foothills, woods, forests, and disturbed areas. It is a perennial herb growing erect to a maximum height around a meter, its taproot growing up to five[2] or six[3] feet deep. The alternately arranged leaves are each composed of several narrow, gland-dotted, light green leaflets. The inflorescence  is a dense cylindrical spike of flowers at the tip of each stem or stem  branch. The spike is packed with the pointed green calyces of sepals, the lower ones bearing corollas of white petals and the higher ones blooming later. The fruit is a green oval legume pod containing one seed.			Petalostemon candidum, Dalea oligophylla, Petalostemon candidum, Petalostemon gracile, Petalostemon occidentale, Petalostemon oligophyllum	Bean, Pea (Fabaceae)	native								white	spike	radial	5	Jun, Jul	alternate	pinnate	linear	entire	yes	parallel, branched	ridged, round	hairless	66, 28	upright no/few branches, upright branching	bunches, singular		
Purple prairie-clover, Violet prairie-clover	Dalea purpurea	Dalea purpurea is a species of flowering plant in the legume family known by the common name purple prairie clover, better written as "prairie-clover," in recognition of the fact that it is not a true clover (genus Trifolium).[2]  It is native to central North America, where it occurs from central  Canada to the southeastern and southwestern United States, except for  the east and west coasts.[3][4][5] It is a common and widespread plant within its range, especially on the Great Plains.[6] This plant is a perennial herb growing 20 to 90 centimetres (7.9 to 35 inches) tall. The mature plant has a large taproot  which may grow two meters deep. The stem is woody with several  branches. The leaves are a few centimeters long and are divided into 3  to 7 narrow leaflets. The inflorescence atop each stem branch is a spike up to 7 cm (2.8 in) long containing many purple flowers. The fruit is a legume pod containing 1 or 2 seeds.			Petalostemon molle, Petalostemon purpureum	Bean, Pea (Fabaceae)	native								purple	spike	radial	5	Jun, Jul, Aug	alternate	pinnate, trifoliate	linear	entire	yes	parallel, branched	ridged, round	hairless	66, 28	upright no/few branches, upright branching	bunches, singular		
Queen Anne's lace, Wild carrot, Bird's nest	Daucus carota	Daucus carota is a biennial plant that grows a rosette of leaves in the spring and summer, while building up the stout taproot that stores large amounts of sugars for the plant to flower in the second year. Soon after germination, carrot seedlings show a distinct demarcation between the taproot and the hypocotyl.  The latter is thicker and lacks lateral roots. At the upper end of the  hypocotyl is the seed leaf. The first true leaf appears about 10–15 days  after germination. Subsequent leaves, produced from the stem nodes, are  alternating (with a single leaf attached to a node, and the leaves growing in alternate directions) and compound, and arranged in a spiral. The leaf blades are pinnate.  As the plant grows, the bases of the cotyledon are pushed apart. The  stem, located just above the ground, is compressed and the internodes  are not distinct. When the seed stalk elongates, the tip of the stem  narrows and becomes pointed, extends upward, and becomes a highly  branched inflorescence. The stems grow to 60–200 cm (20–80 in) tall.  The inflorescence is a compound umbel,  and each umbel contains several umbellets. The first (primary) umbel  occurs at the end of the main floral stem; smaller secondary umbels grow  from the main branch, and these further branch into third, fourth, and  even later-flowering umbels. A large primary umbel can contain up to 50  umbellets, each of which may have as many as 50 flowers; subsequent  umbels have fewer flowers. Flowers are small and white, sometimes with a  light green or yellow tint. They consist of five petals, five stamens, and an entire calyx.				Parsely, Carrot (Apiaceae)	nonnative	invasive, hazardous							white	umbel	radial	5	Jun, Jul, Aug, Sept	alternate	pinnate, bipinnate	divided, lobed	lobed	no	branched	round	hairy	104, 28	upright no/few branches, upright branching	bunches, singular		
Showy tick-trefoil, Canadian tick-trefoil	Desmodium canadense				Hedysarum canadense, Meibomia canadensis	Bean, Pea (Fabaceae)	native								purple, pink	panicle, spike, raceme	bilateral	3, 5	Jul, Aug	alternate	trifoliate	lanceolate	entire	yes	branched	ridged	fuzzy	157, 30	upright branching	bunches		
Illinois tick-trefoil	Desmodium illinoense				Meibomia illinoensis	Bean, Pea (Fabaceae)	native								white, pink, purple	raceme	bilateral	3, 5	Jul, Aug	alternate	trifoliate	lanceolate	entire	yes	branched	ridged, round	fuzzy, hairy	157, 30	upright branching	bunches		
Shooting-star, Eastern shooting-star, Pride-of-Ohio	Dodecatheon meadia	Dodecatheon meadia is a species of flowering plant in the family Primulaceae, native  to North America. It is found in the American South, as well as the  Upper Midwest, Kansas, New York, Pennsylvania and the Canadian province  of Manitoba. It grows in woods and prairies and tolerates partial shade. It is commonly known as shooting star, though this name may also refer to other species. It has white or pink petals which nod from an umbel, protruding from a scape 8–20 in (203–508 mm). It flowers in the spring.			Dodecatheon hugeri, Dodecatheon pauciflorum, Dodecatheon pulchellum, Dodecatheon stanfieldii	Primrose (Primulaceae)	native								pink, white	umbel	radial	5	Apr, May, Jun	basal	simple	oblong, spatulate	entire	no	branched	round	hairless	33, 10	upright no/few branches	singular		
Pale purple coneflower, Prairie coneflower	Echinacea pallida	E. pallida is similar to E. angustifolia,  but plants often grow taller, ranging from 1.5 to 2.5 ft (45 to 75 cm)  tall, with some growing 3 feet (90 cm) or more tall. Plants normally  grow with one unbranched stem  in the wild, but often produce multi-stemmed clumps in gardens. They  have deep taproots that are spindle shaped, wider in the center and  narrowing at the ends. Stems are green in color or mottled with purple  and green. The leaves are elongated lanceolate or linear-lanceolate in  shape with three veins. Flower head rays are narrow, linear, elongated,  and drooping, ranging from 1 to 3 inches (2.5 to 7.6 cm) long. The  flower heads are from ¾ to 3 inches (2 to 7.6 cm) wide with pale  rose-purple or nearly white colored petals. The flowers have white  pollen. The fruits are cypselae and are tan or bi-colored with angled edges			Brauneria pallida, Rudbeckia pallida	Aster, Daisy (Asteraceae)	native	threatened							purple, pink	head	radial	more	Jun, Jul, Aug	basal	simple	linear, oblong	entire	yes	parallel	round	hairy	97, 30	upright no/few branches, upright branching	bunches, singular		
Purple coneflower	Echinacea purpurea	This herbaceous perennial  is 120 cm (47 in) tall by 50 cm (20 in) wide at maturity. Depending on  the climate, it blooms throughout spring and summer. Its individual  flowers (florets) within the flower head are hermaphroditic, having both male and female organs on each flower. It is pollinated by butterflies and bees. Its habitats include dry open woods, prairies and barrens, as well as cultivated beds. Although the plant prefers loamy or sandy, well-drained soils, it is little affected by the soil's pH.			Brauneria purpurea, Rudbeckia purpurea	Aster, Daisy (Asteraceae)	nonnative								purple, pink	head	radial	more	Jun, Jul, Aug, Sept, Oct	basal, alternate	simple	lanceolate, ovate	coarsely toothed, finely toothed	yes	branched	round	hairy	97, 30	upright no/few branches, upright branching	bunches, singular		
